name,name_it
Affenpinscher,Affenpinscher
Afghan Hound,Levriero afghano
Airedale Terrier,Airedale Terrier
Akbash Dog,Akbash
Akita,Akita
Alapaha Blue Blood Bulldog,Bulldog Alapaha Blue Blood
Alaskan Husky,Husky dell'Alaska
Alaskan Malamute,Malamute dell'Alaska
American Bulldog,Bulldog americano
American Bully,American Bully
American Eskimo Dog,Spitz americano
American Foxhound,Foxhound americano
American Pit Bull Terrier,American Pit Bull Terrier
American Staffordshire Terrier,American Staffordshire Terrier
American Water Spaniel,American Water Spaniel
Anatolian Shepherd Dog,Pastore dell'Anatolia
Appenzeller Sennenhund,Bovaro dell'Appenzell
Australian Cattle Dog,Australian Cattle Dog
Australian Kelpie,Kelpie australiano
Australian Shepherd,Pastore australiano
Australian Terrier,Terrier australiano
Azawakh,Azawakh
Barbet,Barbet
Basenji,Basenji
Basset Bleu de Gascogne,Basset Bleu de Gascogne
Basset Hound,Basset Hound
Beagle,Beagle
Bearded Collie,Bearded Collie
Beauceron,Beauceron
Bedlington Terrier,Bedlington Terrier
Belgian Malinois,Pastore belga Malinois
Belgian Tervuren,Pastore belga Tervuren
Bernese Mountain Dog,Bovaro del Bernese
Bichon Frise,Bichon Frisé
Black and Tan Coonhound,Black and Tan Coonhound
Bloodhound,Bloodhound
Bluetick Coonhound,Bluetick Coonhound
Boerboel,Boerboel
Border Collie,Border Collie
Border Terrier,Border Terrier
Boston Terrier,Boston Terrier
Bouvier des Flandres,Bovaro delle Fiandre
Boxer,Boxer
Boykin Spaniel,Boykin Spaniel
Bracco Italiano,Bracco Italiano
Briard,Briard
Brittany,Epagneul Breton
Bull Terrier,Bull Terrier
Bull Terrier (Miniature),Bull Terrier miniatura
Bullmastiff,Bullmastiff
Cairn Terrier,Cairn Terrier
Cane Corso,Cane Corso
Cardigan Welsh Corgi,Cardigan Welsh Corgi
Catahoula Leopard Dog,Catahoula Leopard Dog
Caucasian Shepherd (Ovcharka),Pastore del Caucaso
Cavalier King Charles Spaniel,Cavalier King Charles Spaniel
Chesapeake Bay Retriever,Chesapeake Bay Retriever
Chinese Crested,Chinese Crested
Chinese Shar-Pei,Shar Pei
Chinook,Chinook
Chow Chow,Chow Chow
Clumber Spaniel,Clumber Spaniel
Cocker Spaniel,Cocker Spaniel
Cocker Spaniel (American),Cocker Spaniel americano
Coton de Tulear,Coton de Tuléar
Dalmatian,Dalmata
Doberman Pinscher,Dobermann
Dogo Argentino,Dogo Argentino
Dutch Shepherd,Pastore olandese
English Setter,Setter inglese
English Shepherd,English Shepherd
English Springer Spaniel,Springer Spaniel inglese
English Toy Spaniel,English Toy Spaniel
English Toy Terrier,English Toy Terrier
Eurasier,Eurasier
Field Spaniel,Field Spaniel
Finnish Lapphund,Lapphund finlandese
Finnish Spitz,Spitz finlandese
French Bulldog,Bulldog francese
German Pinscher,Pinscher tedesco
German Shepherd Dog,Pastore tedesco
German Shorthaired Pointer,Bracco tedesco a pelo corto
Giant Schnauzer,Schnauzer gigante
Glen of Imaal Terrier,Glen of Imaal Terrier
Golden Retriever,Golden Retriever
Gordon Setter,Setter Gordon
Great Dane,Alano
Great Pyrenees,Pastore dei Pirenei
Greyhound,Greyhound
Griffon Bruxellois,Griffone di Bruxelles
Harrier,Harrier
Havanese,Havanese
Irish Setter,Setter irlandese
Irish Terrier,Terrier irlandese
Irish Wolfhound,Levriero irlandese
Italian Greyhound,Piccolo levriero italiano
Japanese Chin,Chin giapponese
Japanese Spitz,Spitz giapponese
Keeshond,Keeshond
Komondor,Komondor
Kooikerhondje,Kooikerhondje
Kuvasz,Kuvasz
Labrador Retriever,Labrador Retriever
Lagotto Romagnolo,Lagotto Romagnolo
Lancashire Heeler,Lancashire Heeler
Leonberger,Leonberger
Lhasa Apso,Lhasa Apso
Maltese,Maltese
Miniature American Shepherd,Pastore americano in miniatura
Miniature Pinscher,Pinscher nano
Miniature Schnauzer,Schnauzer nano
Newfoundland,Terranova
Norfolk Terrier,Norfolk Terrier
Norwich Terrier,Norwich Terrier
Nova Scotia Duck Tolling Retriever,Nova Scotia Duck Tolling Retriever
Old English Sheepdog,Bobtail
Olde English Bulldogge,Olde English Bulldogge
Papillon,Papillon
Pekingese,Pechinese
Pembroke Welsh Corgi,Pembroke Welsh Corgi
Perro de Presa Canario,Dogo canario
Pharaoh Hound,Pharaoh Hound
Plott,Plott Hound
Pomeranian,Volpino di Pomerania
Poodle (Miniature),Barboncino nano
Poodle (Toy),Barboncino toy
Pug,Carlino
Puli,Puli
Pumi,Pumi
Rat Terrier,Rat Terrier
Redbone Coonhound,Redbone Coonhound
Rhodesian Ridgeback,Rhodesian Ridgeback
Rottweiler,Rottweiler
Russian Toy,Russian Toy
Saint Bernard,San Bernardo
Saluki,Saluki
Samoyed,Samoiedo
Schipperke,Schipperke
Scottish Deerhound,Deerhound scozzese
Scottish Terrier,Scottish Terrier
Shetland Sheepdog,Shetland Sheepdog
