language_code,month_num,day_num,theme_month,category,phrase,explanation,micro_action
it,8,1,Integratori e medicina naturale,integrazione,Gli integratori completano non sostituiscono.,La terapia veterinaria rimane la base: gli integratori la supportano e la rendono più efficace.,Parla con il vet prima di iniziare qualsiasi integratore nuovo.
en,8,1,Supplements and natural medicine,integration,Supplements complement they do not replace.,Veterinary therapy remains the base: supplements support it and make it more effective.,Talk with the vet before starting any new supplement.
de,8,1,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Nahrungsergänzungsmittel ergänzen sie ersetzen nicht.,Tierärztliche Therapie bleibt die Basis: Ergänzungsmittel unterstützen sie und machen sie wirksamer.,Sprich mit dem Tierarzt bevor du ein neues Ergänzungsmittel beginnst.
fr,8,1,Compléments et médecine naturelle,intégration,Les compléments complètent ils ne remplacent pas.,La thérapie vétérinaire reste la base: les compléments la soutiennent et la rendent plus efficace.,Parlez au vétérinaire avant de commencer tout nouveau complément.
it,8,2,Integratori e medicina naturale,integrazione,La glucosamina è il mattone fondamentale del cartilagine.,Supporta la sintesi della cartilagine articolare e ne rallenta il deterioramento nel tempo.,Chiedi al vet il dosaggio corretto di glucosamina per il peso del tuo cane.
en,8,2,Supplements and natural medicine,integration,Glucosamine is the fundamental building block of cartilage.,It supports the synthesis of articular cartilage and slows its deterioration over time.,Ask the vet the correct glucosamine dosage for your dog's weight.
de,8,2,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Glucosamin ist der grundlegende Baustein des Knorpels.,Es unterstützt die Synthese des Gelenkknorpels und verlangsamt dessen Abbau mit der Zeit.,Frage den Tierarzt nach der richtigen Glucosamin-Dosierung für das Gewicht deines Hundes.
fr,8,2,Compléments et médecine naturelle,intégration,La glucosamine est la brique fondamentale du cartilage.,Elle soutient la synthèse du cartilage articulaire et ralentit sa détérioration dans le temps.,Demandez au vétérinaire le dosage correct de glucosamine pour le poids de votre chien.
it,8,3,Integratori e medicina naturale,integrazione,La condroitina lavora in sinergia con la glucosamina.,Insieme migliorano la viscosità del liquido sinoviale riducendo l'attrito articolare.,Cerca integratori che combinino già entrambe le molecole in un unico prodotto.
en,8,3,Supplements and natural medicine,integration,Chondroitin works in synergy with glucosamine.,Together they improve the viscosity of synovial fluid reducing joint friction.,Look for supplements that already combine both molecules in a single product.
de,8,3,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Chondroitin arbeitet in Synergie mit Glucosamin.,Zusammen verbessern sie die Viskosität der Synovialflüssigkeit und reduzieren Gelenkreibung.,Suche Nahrungsergänzungsmittel die beide Moleküle bereits in einem einzigen Produkt kombinieren.
fr,8,3,Compléments et médecine naturelle,intégration,La chondroïtine travaille en synergie avec la glucosamine.,Ensemble elles améliorent la viscosité du liquide synovial réduisant la friction articulaire.,Cherchez des compléments qui combinent déjà les deux molécules dans un seul produit.
it,8,4,Integratori e medicina naturale,integrazione,Gli omega-3 sono antinfiammatori naturali potenti.,EPA e DHA riducono l'infiammazione articolare in modo documentato dalla ricerca scientifica.,Scegli olio di pesce di qualità certificata con alto contenuto di EPA e DHA.
en,8,4,Supplements and natural medicine,integration,Omega-3 are powerful natural anti-inflammatories.,EPA and DHA reduce joint inflammation in a way documented by scientific research.,Choose certified quality fish oil with high EPA and DHA content.
de,8,4,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Omega-3 sind starke natürliche Entzündungshemmer.,EPA und DHA reduzieren Gelenkentzündungen auf eine durch wissenschaftliche Forschung dokumentierte Weise.,Wähle zertifiziertes hochwertiges Fischöl mit hohem EPA- und DHA-Gehalt.
fr,8,4,Compléments et médecine naturelle,intégration,Les oméga-3 sont de puissants anti-inflammatoires naturels.,L'EPA et le DHA réduisent l'inflammation articulaire de façon documentée par la recherche scientifique.,Choisissez de l'huile de poisson de qualité certifiée à haute teneur en EPA et DHA.
it,8,5,Integratori e medicina naturale,integrazione,La boswellia ha effetti antinfiammatori documentati.,Estratta dalla resina di Boswellia serrata riduce il dolore e la rigidità articolare.,Chiedi al vet se la boswellia è indicata e al dosaggio giusto per il tuo cane.
en,8,5,Supplements and natural medicine,integration,Boswellia has documented anti-inflammatory effects.,Extracted from Boswellia serrata resin it reduces joint pain and stiffness.,Ask the vet if boswellia is indicated and at the right dosage for your dog.
de,8,5,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Boswellia hat dokumentierte entzündungshemmende Wirkungen.,Aus dem Harz der Boswellia serrata extrahiert reduziert es Gelenkschmerzen und Steifheit.,Frage den Tierarzt ob Boswellia für deinen Hund angezeigt ist und die richtige Dosierung.
fr,8,5,Compléments et médecine naturelle,intégration,La boswellia a des effets anti-inflammatoires documentés.,Extraite de la résine de Boswellia serrata elle réduit la douleur et la raideur articulaire.,Demandez au vétérinaire si la boswellia est indiquée et au bon dosage pour votre chien.
it,8,6,Integratori e medicina naturale,integrazione,Il collagene di tipo II è specifico per le articolazioni.,Rinforza la matrice del cartilagine articolare ed è particolarmente utile nelle forme croniche.,Chiedi al vet se il collagene idrolizzato è indicato per il tuo cane.
en,8,6,Supplements and natural medicine,integration,Type II collagen is specific for joints.,It reinforces the articular cartilage matrix and is particularly useful in chronic forms.,Ask the vet if hydrolysed collagen is indicated for your dog.
de,8,6,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Kollagen Typ II ist spezifisch für Gelenke.,Es stärkt die Knorpelmatrix der Gelenke und ist bei chronischen Formen besonders nützlich.,Frage den Tierarzt ob hydrolysiertes Kollagen für deinen Hund angezeigt ist.
fr,8,6,Compléments et médecine naturelle,intégration,Le collagène de type II est spécifique aux articulations.,Il renforce la matrice du cartilage articulaire et est particulièrement utile dans les formes chroniques.,Demandez au vétérinaire si le collagène hydrolysé est indiqué pour votre chien.
it,8,7,Integratori e medicina naturale,integrazione,L'acido ialuronico lubrifica le articolazioni.,Come lubrificante naturale riduce l'attrito e migliora la fluidità del movimento.,Chiedi al vet degli integratori orali o delle iniezioni intra-articolari di acido ialuronico.
en,8,7,Supplements and natural medicine,integration,Hyaluronic acid lubricates the joints.,As a natural lubricant it reduces friction and improves movement fluidity.,Ask the vet about oral supplements or intra-articular injections of hyaluronic acid.
de,8,7,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Hyaluronsäure schmiert die Gelenke.,Als natürliches Gleitmittel reduziert es Reibung und verbessert die Bewegungsflüssigkeit.,Frage den Tierarzt nach oralen Ergänzungsmitteln oder intraartikulären Injektionen von Hyaluronsäure.
fr,8,7,Compléments et médecine naturelle,intégration,L'acide hyaluronique lubrifie les articulations.,Comme lubrifiant naturel il réduit la friction et améliore la fluidité du mouvement.,Demandez au vétérinaire des compléments oraux ou des injections intra-articulaires d'acide hyaluronique.
it,8,8,Integratori e medicina naturale,integrazione,Le cozze verdi sono ricche di lipidi antinfiammatori.,Perna canaliculus contiene lipidi unici che riducono l'infiammazione articolare in modo naturale.,Chiedi al vet dei prodotti a base di cozze verdi della Nuova Zelanda.
en,8,8,Supplements and natural medicine,integration,Green mussels are rich in anti-inflammatory lipids.,Perna canaliculus contains unique lipids that reduce joint inflammation naturally.,Ask the vet about products based on New Zealand green mussels.
de,8,8,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Grünlippenmuscheln sind reich an entzündungshemmenden Lipiden.,Perna canaliculus enthält einzigartige Lipide die Gelenkentzündungen auf natürliche Weise reduzieren.,Frage den Tierarzt nach Produkten auf Basis von neuseeländischen Grünlippenmuscheln.
fr,8,8,Compléments et médecine naturelle,intégration,Les moules vertes sont riches en lipides anti-inflammatoires.,Perna canaliculus contient des lipides uniques qui réduisent l'inflammation articulaire naturellement.,Demandez au vétérinaire des produits à base de moules vertes de Nouvelle-Zélande.
it,8,9,Integratori e medicina naturale,integrazione,La qualità degli integratori varia enormemente.,Non tutti i prodotti in commercio sono sicuri ed efficaci: scegliere bene fa la differenza.,Scegli solo integratori con studi scientifici pubblicati a supporto dell'efficacia.
en,8,9,Supplements and natural medicine,integration,The quality of supplements varies enormously.,Not all products on the market are safe and effective: choosing well makes the difference.,Choose only supplements with published scientific studies supporting their effectiveness.
de,8,9,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Die Qualität von Nahrungsergänzungsmitteln variiert enorm.,Nicht alle Produkte auf dem Markt sind sicher und wirksam: gut zu wählen macht den Unterschied.,Wähle nur Nahrungsergänzungsmittel mit veröffentlichten wissenschaftlichen Studien zur Wirksamkeit.
fr,8,9,Compléments et médecine naturelle,intégration,La qualité des compléments varie énormément.,Tous les produits sur le marché ne sont pas sûrs et efficaces: bien choisir fait la différence.,Choisissez uniquement des compléments avec des études scientifiques publiées soutenant leur efficacité.
it,8,10,Integratori e medicina naturale,integrazione,La curcuma funziona meglio con la piperina.,La combinazione aumenta l'assorbimento della curcumina fino a 20 volte rispetto alla curcuma sola.,Cerca prodotti con curcuma e piperina già combinati in proporzioni ottimali.
en,8,10,Supplements and natural medicine,integration,Turmeric works better with piperine.,The combination increases curcumin absorption up to 20 times compared to turmeric alone.,Look for products with turmeric and piperine already combined in optimal proportions.
de,8,10,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Kurkuma wirkt besser mit Piperin.,Die Kombination erhöht die Kurkumin-Absorption bis zu 20-mal im Vergleich zu Kurkuma allein.,Suche Produkte mit Kurkuma und Piperin bereits in optimalen Proportionen kombiniert.
fr,8,10,Compléments et médecine naturelle,intégration,Le curcuma fonctionne mieux avec la pipérine.,La combinaison augmente l'absorption de la curcumine jusqu'à 20 fois par rapport au curcuma seul.,Cherchez des produits avec curcuma et pipérine déjà combinés en proportions optimales.
it,8,11,Integratori e medicina naturale,integrazione,Gli integratori richiedono costanza e pazienza.,L'effetto si vede dopo 4-8 settimane di uso regolare: saltare giorni azzera i progressi.,Sii costante e paziente nella somministrazione ogni giorno senza eccezioni.
en,8,11,Supplements and natural medicine,integration,Supplements require consistency and patience.,The effect is seen after 4-8 weeks of regular use: skipping days resets progress.,Be consistent and patient in daily administration without exceptions.
de,8,11,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Nahrungsergänzungsmittel erfordern Konsequenz und Geduld.,Der Effekt ist nach 4-8 Wochen regelmäßiger Nutzung sichtbar: Tage zu überspringen setzt Fortschritte zurück.,Sei konsequent und geduldig bei der täglichen Gabe ohne Ausnahmen.
fr,8,11,Compléments et médecine naturelle,intégration,Les compléments nécessitent constance et patience.,L'effet se voit après 4-8 semaines d'utilisation régulière: sauter des jours remet à zéro les progrès.,Soyez constant et patient dans l'administration quotidienne sans exceptions.
it,8,12,Integratori e medicina naturale,integrazione,La fitoterapia veterinaria è una risorsa reale.,Le erbe medicinali usate correttamente possono supportare la terapia articolare.,Consulta un veterinario formato in fitoterapia per un piano erboristico personalizzato.
en,8,12,Supplements and natural medicine,integration,Veterinary phytotherapy is a real resource.,Medicinal herbs used correctly can support joint therapy.,Consult a vet trained in phytotherapy for a personalised herbal plan.
